CVX;NUVA;Label
CVX-188;VAC0906;Shingles vaccine, unspecified
CVX-304;VAC1071;RSV antibody or vaccine, unspecified
CVX-56;VAC0155;Dengue vaccine, unspecified
CVX-82;VAC0894;Adenovirus vaccine, unspecified
CVX-60;VAC0832;Herpes Simplex vaccine, unspecified
CVX-318;VAC1279;Adjuvanted adsorbed anthrax vaccine
CVX-311;VAC1072;COVID-19 mRNA vaccine, original virus, 25 µg, unspecified
CVX-41;VAC0713;Typhoid polysaccharide vaccine, unspecified
CVX-313;VAC0838;COVOVAX NOVAVAX
CVX-191;VAC0865;Polysaccharide meningococcal A vaccine, unspecified
CVX-144;VAC1249;Flu vaccine, trivalent inactivated, high dose, intradermal use, unspecified
CVX-208;VAC1150;COVID-19 mRNA vaccine encoding the spike protein of SARS-CoV-2, original virus, 30 micrograms, unspecified
CVX-71;VAC1223;Immunoglobulin against respiratory syncytial virus (RSV), unspecified
CVX-217;VAC1150;COVID-19 mRNA vaccine encoding the spike protein of SARS-CoV-2, original virus, 30 micrograms, unspecified
CVX-110;VAC0792;Diphtheria-Tetanus-Pertussis-Polio-Hepatitis B pentavalent vaccine, unspecified
CVX-12;VAC0867;Diphtheria antitoxin, unspecified
CVX-94;VAC0827;MMRV - Measles-Mumps-Rubella-Varicella vaccine, unspecified
CVX-309;VAC1150;COVID-19 mRNA vaccine encoding the spike protein of SARS-CoV-2, original virus, 30 micrograms, unspecified
CVX-324;VAC0270;Inactivated Polio vaccine, unspecified
CVX-93;VAC1222;Human monoclonal antibody against respiratory syncytial virus (RSV), palivizumab, unspecified
CVX-43;VAC0915;Hepatitis B vaccine, monovalent, adult dose, unspecified
CVX-160;VAC0084;H5N1 pre-pandemic influenza vaccine, unspecified
CVX-517;VAC1025;CORBEVAX
CVX-169;VAC0928;Live attenuated Hepatitis A vaccine, unspecified
CVX-300;VAC1169;COVID-19 Bivalent mRNA vaccine, original virus + Omicron BA.4/5 variant, 15 micrograms, unspecified
CVX-55;VAC0908;Vaccine against adenovirus type 7, unspecified
CVX-146;VAC0552;Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified
CVX-224;VAC1038;Tick-borne encephalitis vaccine, Neudörfl strain, adult dose, unspecified
CVX-214;VAC0831;Ebola vaccine, unspecified
CVX-50;VAC0856;DTaPHib vaccine, unspecified
CVX-42;VAC0914;Hepatitis B vaccine, monovalent, pediatric dose, unspecified
CVX-226;VAC1204;COVID-19 protein subunit vaccine, recombinant spike protein, with adjuvant, unspecified
CVX-90;VAC0131;Rabies vaccine, unspecified
CVX-81;VAC0895;Venezuelan Equine Encephalitis Vaccine, Unspecified
CVX-509;VAC0683;EpiVacCorona
CVX-149;VAC1112;Live attenuated quadrivalent influenza vaccine, unspecified
CVX-28;VAC0137;DT vaccine, unspecified
CVX-162;VAC0861;Multicomponent meningococcal B vaccine, unspecified
CVX-44;VAC0916;Hepatitis B vaccine, monovalent, dialysis patient dosage, unspecified
CVX-331;VAC0925;Trivalent inactivated influenza vaccine, unspecified
CVX-89;VAC0135;Polio vaccine, unspecified
CVX-07;VAC0153;Mumps vaccine, unspecified
CVX-193;VAC0653;Hepatitis A + Hepatitis B vaccine Child, unspecified
CVX-112;VAC0132;Tetanus vaccine, unspecified
CVX-35;VAC0132;Tetanus vaccine, unspecified
CVX-103;VAC0150;Meningococcal conjugate vaccine C, unspecified
CVX-222;VAC0145;Tick-borne encephalitis vaccine, unspecified
CVX-102;VAC0599;DTPerHibHepB pentavalent vaccine, unspecified
CVX-10;VAC0270;Inactivated Polio vaccine, unspecified
CVX-329;VAC1419;Chikungunya VLP vaccine (recombinant, adsorbed)
CVX-211;VAC1129;COVID-19 protein subunit vaccine, recombinant spike protein in nanoparticles, unspecified
CVX-67;VAC0154;Malaria vaccine, unspecified
CVX-513;VAC0659;ZIFIVAX ANHUI COVID-19 VACCINE
CVX-66;VAC1073;Lyme disease vaccine, unspecified
CVX-161;VAC0929;Influenza quadrivalent inactivated vaccine, pediatric dose, unspecified
CVX-53;VAC0817;Inactivated Typhoid vaccine, unspecified
CVX-168;VAC0925;Trivalent inactivated influenza vaccine, unspecified
CVX-334;VAC1469;mNEXSPIKE
CVX-17;VAC0143;Haemophilus influenzae B (or Hib) vaccine, unspecified
CVX-326;VAC1262;MRESVIA
CVX-30;VAC0863;Hepatitis B immunoglobulin, unspecified
